filename,title,authors,series,url,Category
9780060542382_b190fe25-c2a8-4051-a524-f2661ee7e187.jpg,Amelia Bedelia 50th Anniversary Library,"Peggy Parish, Various",,https://harpercollins.com/products/amelia-bedelia-50th-anniversary-library-peggy-parish,Beginning Readers
9780060542382_b190fe25-c2a8-4051-a524-f2661ee7e187.jpg,Amelia Bedelia 50th Anniversary Library,"Peggy Parish, Various",,https://harpercollins.com/products/amelia-bedelia-50th-anniversary-library-peggy-parish,Beginning Readers
9780063223196_8c0e4c74-eeb5-4e09-8b48-9c9d8fff1272.jpg,Reina Ramos: Tour Guide,"Emma Otheguy, Andrés Landazábal",Reina Ramos,https://harpercollins.com/products/reina-ramos-tour-guide-emma-otheguy,Beginning Readers
9780063096134_0dd3eb50-75f9-4228-becf-285004d1a4a6.jpg,Pete the Cat: Scaredy Cat!,"James Dean, Kimberly Dean",Pete the Cat,https://harpercollins.com/products/pete-the-cat-scaredy-cat-james-deankimberly-dean,Beginning Readers
9780152060107.jpg,Cowgirl Kate and Cocoa: Partners,"Erica Silverman, Betsy Lewin",Cowgirl Kate and Cocoa,https://harpercollins.com/products/cowgirl-kate-and-cocoa-partners-erica-silverman,Beginning Readers
9780063389755_fb15c12b-5864-401c-a212-dabc03515b4e.jpg,My Little Pony: 5 Magical Tales,Hasbro,My Little Pony,https://harpercollins.com/products/my-little-pony-5-magical-tales-hasbro,Beginning Readers
9780063389755_37117357-4df0-449c-a49e-9bd979849854.jpg,My Little Pony: Five Magical Tales,Hasbro,My Little Pony,https://harpercollins.com/products/my-little-pony-five-magical-tales-hasbro,Beginning Readers
9780063389755.jpg,My Little Pony: Bind-Up Reading Collection,Hasbro,My Little Pony,https://harpercollins.com/products/my-little-pony-bind-up-reading-collection-hasbro,Beginning Readers
9780061177569.jpg,"Scat, Cat!","Alyssa Satin Capucilli, Paul Meisel",,https://harpercollins.com/products/scat-cat-alyssa-satin-capucilli,Beginning Readers
9780063049475_4cdc65f2-6db0-458c-b0f8-d4746179ddfa.jpg,Friendbots: Blink and Block Bug Each Other,Vicky Fang,Friendbots,https://harpercollins.com/products/friendbots-blink-and-block-bug-each-other-vicky-fang,Beginning Readers
9780062294210.jpg,Splat the Cat: Twice the Mice,Rob Scotton,Splat the Cat,https://harpercollins.com/products/splat-the-cat-twice-the-mice-rob-scotton,Beginning Readers
9780062115959.jpg,Splat the Cat: Up in the Air at the Fair,Rob Scotton,Splat the Cat,https://harpercollins.com/products/splat-the-cat-up-in-the-air-at-the-fair-rob-scotton,Beginning Readers
9780062333964_af5b2ceb-e5c3-48cc-8007-1b1b01503630.jpg,Amelia Bedelia Chapter Book #5: Amelia Bedelia Shapes Up,"Herman Parish, Lynne Avril",Amelia Bedelia Chapter Book #5,https://harpercollins.com/products/amelia-bedelia-chapter-book-5-amelia-bedelia-shapes-up-herman-parish,Beginning Readers
9780152048600_b5f2fb3e-f62d-4989-a74e-4b3bd043bc5d.jpg,"Come Here, Tiger!","Alex Moran, Lisa Campbell Ernst",,https://harpercollins.com/products/come-here-tiger-alex-moran,Beginning Readers
9780063003842.jpg,Pinkalicious: Kindergarten Fun,Victoria Kann,Pinkalicious,https://harpercollins.com/products/pinkalicious-kindergarten-fun-victoria-kann,Beginning Readers
9780062430649_05e8eeee-1969-4dd3-b4ef-33382b6255cd.jpg,Paddington Sets Sail,"Michael Bond, R. W. Alley",,https://harpercollins.com/products/paddington-sets-sail-michael-bond,Beginning Readers
9781328841971.jpg,Stinkiest!,Steve Jenkins,,https://harpercollins.com/products/stinkiest-steve-jenkins,Beginning Readers
9780688154813_8faf7055-6709-409b-b147-cefd96061f48.jpg,Las bellas hijas de Mufaro,John Steptoe,,https://harpercollins.com/products/las-bellas-hijas-de-mufaro-john-steptoejohn-steptoe,Picture Books
9780544146716_236a54eb-b251-43bc-80bf-618a54c490bc.jpg,Ollie (Reader),Olivier Dunrea,,https://harpercollins.com/products/ollie-reader-olivier-dunrea,Picture Books
9780544146716_236a54eb-b251-43bc-80bf-618a54c490bc.jpg,Ollie (Reader),Olivier Dunrea,,https://harpercollins.com/products/ollie-reader-olivier-dunrea,Board Books
9780064434010_a1aa2740-2ca2-493f-8918-c24328c69e2b.jpg,Se venden gorras,Esphyr Slobodkina,,https://harpercollins.com/products/se-venden-gorras-esphyr-slobodkinaesphyr-slobodkina,Picture Books
9780064434010_a1aa2740-2ca2-493f-8918-c24328c69e2b.jpg,Se venden gorras,Esphyr Slobodkina,,https://harpercollins.com/products/se-venden-gorras-esphyr-slobodkinaesphyr-slobodkina,Board Books
9780688109912_5afe08ab-eec7-4216-b32a-13f12f0f9684.jpg,Galimoto,"Karen Lynn Williams, Catherine Stock",,https://harpercollins.com/products/galimoto-karen-lynn-williams-1,Picture Books
9780618195633_9d5aacbe-14a9-458a-b906-842ed5680594.jpg,Girls Think of Everything,"Catherine Thimmesh, Melissa Sweet",,https://harpercollins.com/products/girls-think-of-everything-catherine-thimmeshcatherine-thimmesh,Picture Books
9780618195633_9d5aacbe-14a9-458a-b906-842ed5680594.jpg,Girls Think of Everything,"Catherine Thimmesh, Melissa Sweet",,https://harpercollins.com/products/girls-think-of-everything-catherine-thimmeshcatherine-thimmesh,Board Books
9780064434522_ff8bea5f-8381-462d-84b2-36f08d88a70d.jpg,Going to Town,"Laura Ingalls Wilder, Renee Graef",,https://harpercollins.com/products/going-to-town-laura-ingalls-wilderlaura-ingalls-wilder,Picture Books
9780395199701_1ccdae30-e623-4aab-b5b6-a85bb97c2b48.jpg,The House on East 88th Street,Bernard Waber,,https://harpercollins.com/products/the-house-on-east-88th-street-bernard-waberbernard-waber,Picture Books
